Sistema,Executavel,MenuOuAcao,OperacaoPermissao,ModuloDominio,TipoAcao,PermissaoOrigem,Confianca,Observacao
LAVSOFT,LavSoft,DescontoporValor1,DescontoporValor1,financeiro/caixa,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,DescontoporValor1Click,DescontoporValor1,financeiro/caixa,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,Filtros - Desconto por Valor ou Porcentagem,DescontoporValor1,financeiro/caixa,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,Descontos no Rol,DescontosnoRol1,financeiro/caixa,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,DescontosnoRol1,DescontosnoRol1,financeiro/caixa,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,DescontosnoRol1Click,DescontosnoRol1,financeiro/caixa,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,DescontosnoRol1P,DescontosnoRol1,financeiro/caixa,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,rio de Descontos no Rol,DescontosnoRol1,financeiro/caixa,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,Devoluo1,Devoluo1,operacional/outro,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,Devoluo1Click,Devoluo1,operacional/outro,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,Devoluo1T,Devoluo1,operacional/outro,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,DevoluoPagamento1,Devoluo1,financeiro/caixa,processar/fechar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,DevoluoPagamento1Click,Devoluo1,financeiro/caixa,processar/fechar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavFacilLan,DevoluoPagamento1,DevoluoPagamento1,financeiro/caixa,processar/fechar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavFacilLan,DevoluoPagamento18,DevoluoPagamento1,financeiro/caixa,processar/fechar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavFacilLan,DevoluoPagamento1Click,DevoluoPagamento1,financeiro/caixa,processar/fechar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,DevoluoPagamento1,DevoluoPagamento1,financeiro/caixa,processar/fechar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,DevoluoPagamento1Click,DevoluoPagamento1,financeiro/caixa,processar/fechar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavFacilLan,Ed_PorcDescontoPag,Ed_PorcDescontoPag,financeiro/caixa,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavFacilLan,Ed_PorcDescontoPagExit,Ed_PorcDescontoPag,financeiro/caixa,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,Ed_PorcDescontoPag,Ed_PorcDescontoPag,financeiro/caixa,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,Ed_PorcDescontoPagExit,Ed_PorcDescontoPag,financeiro/caixa,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavFacilLan,Emitir Nota Fiscal,EmitirNotaFiscal1,fiscal,relatorio/imprimir,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,Emitir Nota Fiscal,EmitirNotaFiscal1,fiscal,relatorio/imprimir,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,EmitirNotaFiscal1,EmitirNotaFiscal1,operacional/outro,relatorio/imprimir,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,EmitirNotaFiscal1Click,EmitirNotaFiscal1,operacional/outro,relatorio/imprimir,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,EmitirNotaFiscal1d,EmitirNotaFiscal1,operacional/outro,relatorio/imprimir,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,%Gera Encerramento Resumido Financeiro,Encerramento1,operacional/outro,processar/fechar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,%Imprime Estoque Encerramento do Caixa,Encerramento1,financeiro/caixa,processar/fechar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,3Controla Encerramento (Sabados/Domingos e Feriados),Encerramento1,lavanderia/rol,processar/fechar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,AMENTO GERADO PELO ENCERRAMENTO DE CAIXA DO LAVSOFT,Encerramento1,financeiro/caixa,processar/fechar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,CANCELAMENTO DO ENCERRAMENTO DO CAIXA,Encerramento1,financeiro/caixa,excluir/cancelar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavFacilLan,Confirma o Encerramento Parcial do Caixa -,EncerramentoParcial1,financeiro/caixa,processar/fechar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,Confirma o Encerramento Parcial do Caixa -,EncerramentoParcial1,financeiro/caixa,processar/fechar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,Entrada Estoque,EntradaEstoque1,estoque/produto,criar/cadastrar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,EntradaEstoque,EntradaEstoque1,estoque/produto,criar/cadastrar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,EntradaEstoque1,EntradaEstoque1,estoque/produto,criar/cadastrar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,EntradaEstoque1<,EntradaEstoque1,estoque/produto,criar/cadastrar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,EntradaEstoque1Click,EntradaEstoque1,estoque/produto,criar/cadastrar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,EntradaRol1,EntradaRol1,estoque/produto,criar/cadastrar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,EntradaRol1Click,EntradaRol1,estoque/produto,criar/cadastrar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,MenuEntradaRol1,EntradaRol1,estoque/produto,criar/cadastrar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,MenuEntradaRol1|,EntradaRol1,estoque/produto,criar/cadastrar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,MenuEntradaRol1Click,EntradaRol1,estoque/produto,criar/cadastrar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavFacilLan,EntregaporPecas1,EntregaporPecas1,lavanderia/rol,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
