Tabela,Caminho,Campo,Tipo,Tamanho,Precisao,Obrigatoriedade,IndiceParadoxDetectado,PossivelChavePrimaria,PossivelChaveEstrangeira,NomeVisualCorrespondente,ModuloRelacionado,TelaRelacionada,EntidadeDominio,ClassificacaoCampo,Evidencia,NivelConfianca,Status
MovControle,Ger\Filial\MovControle.DB,HorAprovCom,System.DateTime,8,0,nao confirmado,.PX;.XG0;.XG1;.XG2;.YG0;.YG1;.YG2,nao confirmado,nao confirmado,HorAprovCom,Movimentos/OS/ROL,nao confirmado,Movimentos/OS/ROL,status,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.XG2,.YG0,.YG1",alta,confirmado por schema
MovProc,Ger\Filial\MovProc.DB,Situacao,System.String,2,0,nao confirmado,.PX;.XG0;.XG1;.XG2;.YG0;.YG1;.YG2,nao confirmado,nao confirmado,Situacao,Movimentos/OS/ROL,nao confirmado,Movimentos/OS/ROL,status,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.XG2,.YG0,.YG1",alta,confirmado por schema
MovProcItem,Ger\Filial\MovProcItem.DB,Situacao,System.String,2,0,nao confirmado,.PX;.XG0;.XG1;.YG0;.YG1,nao confirmado,nao confirmado,Situacao,Movimentos/OS/ROL,nao confirmado,Movimentos/OS/ROL,status,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.YG0,.YG1",alta,confirmado por schema
CadRes,Importa\ESC\FILIAL\CadRes.DB,SitRes2,System.String,2,0,nao confirmado,.PX,nao confirmado,nao confirmado,SitRes2,Configuracao/Admin,nao confirmado,Configuracao/Admin,status,confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,alta,confirmado por schema
CadRes,Importa\ESC\FILIAL\CadRes.DB,SitRes,System.String,2,0,nao confirmado,.PX,nao confirmado,nao confirmado,SitRes,Configuracao/Admin,nao confirmado,Configuracao/Admin,status,confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,alta,confirmado por schema
CadQuinFat,Lav\Dados\CadQuinFat.DB,Status,System.String,2,0,nao confirmado,.PX,nao confirmado,nao confirmado,Status,Nao classificado,nao confirmado,Nao classificado,status,confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,alta,confirmado por schema
CadLoc,Lav\FILIAL\CadLoc.DB,Bloqueia,System.String,2,0,nao confirmado,.PX;.XG0;.XG1;.XG2;.XG3;.XG4;.YG0;.YG1;.YG2;.YG3;.YG4,nao confirmado,nao confirmado,Bloqueia,Configuracao/Admin,nao confirmado,Configuracao/Admin,status,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.XG2,.XG3,.XG4",alta,confirmado por schema
CadLocPec,Lav\FILIAL\CadLocPec.DB,Situacao,System.String,2,0,nao confirmado,.PX;.XG0;.XG1;.XG2;.XG3;.XG4;.XG5;.XG6;.YG0;.YG1;.YG2;.YG3;.YG4;.YG5;.YG6,nao confirmado,nao confirmado,Situacao,Configuracao/Admin,nao confirmado,Configuracao/Admin,status,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.XG2,.XG3,.XG4",alta,confirmado por schema
CliCredito,Lav\FILIAL\CliCredito.DB,Sit,System.String,2,0,nao confirmado,.PX;.XG0;.XG1;.XG2;.XG3;.XG4;.XG5;.YG0;.YG1;.YG2;.YG3;.YG4;.YG5,nao confirmado,nao confirmado,Sit,Financeiro,nao confirmado,Financeiro,status,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.XG2,.XG3,.XG4",alta,confirmado por schema
Doacao,Lav\FILIAL\Doacao.DB,Status,System.String,2,0,nao confirmado,.PX;.XG0;.XG1;.XG2;.YG0;.YG1;.YG2,nao confirmado,nao confirmado,Status,Configuracao/Admin,nao confirmado,Configuracao/Admin,status,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.XG2,.YG0,.YG1",alta,confirmado por schema
