"FullName","Name","Extension","Length","LastWriteTime","FileDescription","ProductName","CompanyName","FileVersion","ProductVersion","OriginalFilename"
"D:\AtelieProd\Equipexe\Exe\SAT.exe","SAT.exe",".exe","10756096","28/10/2009 08:32:18","","","","1.0.0.0","1.0.0.0",""
"D:\AtelieProd\Equipexe\Exe\Senhas.exe","Senhas.exe",".exe","2425856","12/02/2008 10:25:56",,,,,,
"D:\AtelieProd\Equipexe\Exe\Sincronizar.exe","Sincronizar.exe",".exe","1164288","06/08/2007 10:56:50",,,,,,
"D:\AtelieProd\Equipexe\Exe\ssleay32.dll","ssleay32.dll",".dll","335360","08/03/2013 10:43:20","OpenSSL Shared Library","The OpenSSL Toolkit","The OpenSSL Project, http://www.openssl.org/","1.0.1e","1.0.1e","ssleay32.dll"
"D:\AtelieProd\Equipexe\Exe\SYNC20.DLL","SYNC20.DLL",".DLL","106496","13/04/2004 16:03:10","HotSync® Module","HotSync® Manager","Palm, Inc.","4.0","4.0","Sync20.dll"
"D:\AtelieProd\Equipexe\Exe\TrocaWordExcel.exe","TrocaWordExcel.exe",".exe","2101248","09/07/2007 12:58:00",,,,,,
"D:\AtelieProd\Equipexe\Exe\Tutil32.dll","Tutil32.dll",".dll","240316","26/07/1998 11:32:34","Borland Database Engine","","Borland International","3.00","4.186  ","TUTIL32.DLL"
"D:\AtelieProd\Equipexe\Exe\Tutil32.exe","Tutil32.exe",".exe","1351680","18/07/2009 10:47:24",,,,,,
"D:\AtelieProd\Equipexe\Exe\ZipForge.dll","ZipForge.dll",".dll","393216","13/08/2010 12:39:00","ZipForge","ZipForge","ComponentAce","3.0.0.0","3.0.0.0","ZipForge.dll"
"D:\AtelieProd\Equipexe\Figuras\Cfx32.ocx","Cfx32.ocx",".ocx","307200","10/06/1996 10:24:26","Chart Library","Chart FX","Software FX, Inc.","2.0.39","2.0","CFX32.OCX"
"D:\AtelieProd\Equipexe\Figuras\Nmocod.dll","Nmocod.dll",".dll","189952","06/06/1996 10:13:22","NMOCOD","NMOCOD Object Library","NetManage, Inc.","5.1.2727","5.1.2727",""
"D:\AtelieProd\Equipexe\Figuras\OLEPRO32.DLL","OLEPRO32.DLL",".DLL","164112","05/05/1999 21:22:00","","","Microsoft Corporation","5.0.4275","2.40","OLEPRO32.DLL"
"D:\AtelieProd\Equipexe\Figuras\TIMEDATE.CPL","TIMEDATE.CPL",".CPL","37376","05/05/1999 21:22:00","DLL do Painel de controle","Sistema operacional Microsoft(R) Windows(R)","Microsoft Corporation","4.10.2222","4.10.2222","TIMEDATE.CPL"
