"Executavel","Categoria","Texto","Origem"
"LavSoft","operacional"," localizado o Rol mais pr","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","cadastro"," LocalizaProdutopelaDescrio1Click","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","relatorio/impressao"," menor que a ultima impressa","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional"," Menor que o Total do Rol, Deseja Efetuar a Diferen","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","fiscal"," MensagemPrFixadaNotaFiscal1Click","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","cadastro"," Movimento Por Produto e Servi","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","fiscal"," NFENotafiscaleletrnicadeservios1","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional"," no Rol N","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","fiscal"," Nota","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","fiscal"," Nota Fiscal de ","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","fiscal"," NOTA: ","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","fiscal"," Nota.:","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","relatorio/impressao"," o final da impress","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","cadastro"," Obs.: Codigo Cliente: ","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional"," ocupado Rol ","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","cadastro"," On(C.CodCli=G.Chave1 And G.Arquivo=""CLIENTES"")","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","cadastro"," Ordem: Produto","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional"," Ordem: Rol","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","autenticacao/permissao"," Order By L.CodUsuario,L.Sistema,L.Tipo,L.Data","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional"," Order By M.CodPas,M.Rol","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional"," Order By N.RolPrincip","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","autenticacao/permissao"," Order By NomUsuario","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional"," order by O.CodCli, O.Rol ","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional"," Order By Rol","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional"," Order By Rol,CodPro,SeqPro","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","outro"," os parametros","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional"," Pagar - Estoque","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional"," Pagar - Estoque/Produ","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional"," Pagar Estoque","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional"," pagar varios rols...","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
