"Executavel","Categoria","Texto"
"LavFacilLan","operacional"," and (not (M.SitRol=""P""))"
"LavFacilLan","outro"," and (Not(Cancelado='S'))"
"LavFacilLan","outro"," And (not(M.Cancelado=""S""))"
"LavFacilLan","operacional"," and (not(M.SitRol=""P"")) "
"LavFacilLan","outro"," And (Not(MC.Cancelado = ""S"" ))"
"LavFacilLan","operacional"," And (Rol="""
"LavFacilLan","operacional"," and (SitRol is null)"
"LavFacilLan","relatorio/impressao"," b.RDB$TYPE_NAME IN ('RELATION', 'VIEW',"
"LavFacilLan","fiscal"," baixada na Nota N"
"LavFacilLan","financeiro"," baixada no financeiro"
"LavFacilLan","operacional"," Baixada no Rol"
"LavFacilLan","fiscal"," baixado na nota N"
"LavFacilLan","cadastro"," Cadastros foram ajustados"
"LavFacilLan","outro"," Cancelada"
"LavFacilLan","outro"," Cancelado"
"LavFacilLan","outro"," Cancelado,"
"LavFacilLan","outro"," cancelado."
"LavFacilLan","operacional"," cari| carid carol cedli cen| cia "
"LavFacilLan","autenticacao/permissao"," CodUsuario= '"
"LavFacilLan","autenticacao/permissao"," CodUsuario='"
"LavFacilLan","operacional"," colocar em estoque..."
"LavFacilLan","operacional"," CONTROLE DE ENTREGA "
"LavFacilLan","operacional"," CP.ROL "
"LavFacilLan","cadastro"," creditado em seu cadastro o valor de R$"
"LavFacilLan","fiscal"," da Nota: "
"LavFacilLan","financeiro"," DescontoROL=Cast('"
"LavFacilLan","relatorio/impressao"," deseja imprimir o relat"
"LavFacilLan","operacional"," deve selecionar um rol antes de escolher esta op"
"LavFacilLan","cadastro"," diferente do cadastro"
"LavFacilLan","cadastro"," do cadastro de clientes todos os e-mails relacionados no arquivo "
"LavFacilLan","operacional"," do ROL"
"LavFacilLan","operacional"," do Rol ou ""0"" Para Encerrar"
"LavFacilLan","operacional"," do Rol que se encontra no Local"
"LavFacilLan","operacional"," Em Estoque |"
"LavFacilLan","operacional"," em estoque."
"LavFacilLan","operacional"," em uso pelo Rol N"
"LavFacilLan","fiscal"," emitido nota - N"
"LavFacilLan","operacional"," esta em Estoque, Opera"
"LavFacilLan","operacional"," esta em Uso pelo Rol N"
"LavFacilLan","operacional"," Existe um Adiantamento para este Rol"
"LavFacilLan","financeiro"," FINANCEIRO "
"LavFacilLan","fiscal"," Fixada (Nota Fiscal)"
"LavFacilLan","fiscal"," foi baixado na nota"
"LavFacilLan","fiscal"," foi emitida uma Nota para este Rol."
"LavFacilLan","operacional"," foi Entregue, Utilize o F7 para Voltar ao Estoque"
