"FullName","DirectoryName","Name","Extension","Length","LastWriteTime"
"D:\AtelieProd\Equipexe\EST\DADOS\ProdEst.YG0","D:\AtelieProd\Equipexe\EST\DADOS","ProdEst.YG0",".YG0","4096","15/01/2019 15:54:30"
"D:\AtelieProd\Equipexe\EST\DADOS\ProdEstKit.DB","D:\AtelieProd\Equipexe\EST\DADOS","ProdEstKit.DB",".DB","2048","15/01/2019 15:54:30"
"D:\AtelieProd\Equipexe\EST\DADOS\ProdEstKit.PX","D:\AtelieProd\Equipexe\EST\DADOS","ProdEstKit.PX",".PX","2048","15/01/2019 15:54:30"
"D:\AtelieProd\Equipexe\EST\DADOS\ProdEstPac.DB","D:\AtelieProd\Equipexe\EST\DADOS","ProdEstPac.DB",".DB","2048","15/01/2019 15:54:30"
"D:\AtelieProd\Equipexe\EST\DADOS\ProdEstPac.PX","D:\AtelieProd\Equipexe\EST\DADOS","ProdEstPac.PX",".PX","2048","15/01/2019 15:54:30"
"D:\AtelieProd\Equipexe\EST\DADOS\ProdEstPac.XG0","D:\AtelieProd\Equipexe\EST\DADOS","ProdEstPac.XG0",".XG0","34816","15/01/2019 15:54:30"
"D:\AtelieProd\Equipexe\EST\DADOS\ProdEstPac.YG0","D:\AtelieProd\Equipexe\EST\DADOS","ProdEstPac.YG0",".YG0","4096","15/01/2019 15:54:30"
"D:\AtelieProd\Equipexe\EST\DADOS\ProEstKit.DB","D:\AtelieProd\Equipexe\EST\DADOS","ProEstKit.DB",".DB","2048","04/11/2008 10:03:30"
"D:\AtelieProd\Equipexe\EST\DADOS\ProEstKit.PX","D:\AtelieProd\Equipexe\EST\DADOS","ProEstKit.PX",".PX","2048","04/11/2008 10:03:30"
"D:\AtelieProd\Equipexe\EST\DADOS\TabPrecoEst.DB","D:\AtelieProd\Equipexe\EST\DADOS","TabPrecoEst.DB",".DB","2048","15/01/2019 15:54:36"
"D:\AtelieProd\Equipexe\EST\DADOS\TabPrecoEst.PX","D:\AtelieProd\Equipexe\EST\DADOS","TabPrecoEst.PX",".PX","2048","15/01/2019 15:54:36"
"D:\AtelieProd\Equipexe\EST\DADOS\TabPrecoEst.XG0","D:\AtelieProd\Equipexe\EST\DADOS","TabPrecoEst.XG0",".XG0","34816","15/01/2019 15:54:36"
"D:\AtelieProd\Equipexe\EST\DADOS\TabPrecoEst.YG0","D:\AtelieProd\Equipexe\EST\DADOS","TabPrecoEst.YG0",".YG0","4096","15/01/2019 15:54:36"
