"TableName","RelativePath","Directory","Length","ColumnCount","Extracted","ExtractedAt"
"FunCliRouP","Ger\Dados\FunCliRouP.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","2048","6","True","23/05/2026 11:39:39"
"FunCliRouUni","Ger\Dados\FunCliRouUni.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","2048","5","True","23/05/2026 11:39:39"
"GerDadCam","Ger\Dados\GerDadCam.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","34816","5","True","23/05/2026 11:39:39"
"GerDadFlex","Ger\Dados\GerDadFlex.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","2048","10","True","23/05/2026 11:39:39"
"GerDadGru","Ger\Dados\GerDadGru.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","2048","7","True","23/05/2026 11:39:39"
"GruClientes","Ger\Dados\GruClientes.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","34816","12","True","23/05/2026 11:39:39"
"GruClientes2","Ger\Dados\GruClientes2.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","2048","12","True","23/05/2026 11:39:39"
"GruClientes3","Ger\Dados\GruClientes3.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","2048","12","True","23/05/2026 11:39:39"
"GruClientes4","Ger\Dados\GruClientes4.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","2048","12","True","23/05/2026 11:39:40"
"GruFil","Ger\Dados\GruFil.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","2048","6","True","23/05/2026 11:39:40"
"GruFil2","Ger\Dados\GruFil2.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","2048","6","True","23/05/2026 11:39:40"
"GruFil3","Ger\Dados\GruFil3.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","2048","6","True","23/05/2026 11:39:40"
