Dominio,Tabela,Caminho,TamanhoArquivo,QtdColunas,ClassesCampo,CamposPrincipais,Criticidade
config_admin,ContChequeRec,Ger\Filial\ContChequeRec.DB,2048,15,outro:10; id_codigo:3; data_hora:1; cliente_ref:1,Leitura; Banco; Agencia; Conta; NCheque; Comp; Analise; LoteCheque; NumDup; NumFat; DatLan; HorLan; CodUsuario; Cancelado; ValCheque,media
config_admin,EncCai,Ger\Filial\EncCai.DB,2048,2,data_hora:1; valor_monetario:1,DatEnc; Saldo,media
config_admin,EncCc1,Ger\Filial\EncCc1.DB,2048,2,data_hora:1; valor_monetario:1,DatEnc; Saldo,media
config_admin,EncCc2,Ger\Filial\EncCc2.DB,2048,2,data_hora:1; valor_monetario:1,DatEnc; Saldo,media
config_admin,EncCc3,Ger\Filial\EncCc3.DB,2048,2,data_hora:1; valor_monetario:1,DatEnc; Saldo,media
config_admin,EncCc4,Ger\Filial\EncCc4.DB,2048,2,data_hora:1; valor_monetario:1,DatEnc; Saldo,media
config_admin,EncCc5,Ger\Filial\EncCc5.DB,2048,2,data_hora:1; valor_monetario:1,DatEnc; Saldo,media
config_admin,EncCc6,Ger\Filial\EncCc6.DB,2048,2,data_hora:1; valor_monetario:1,DatEnc; Saldo,media
config_admin,EncCc7,Ger\Filial\EncCc7.DB,2048,2,data_hora:1; valor_monetario:1,DatEnc; Saldo,media
config_admin,EncCc8,Ger\Filial\EncCc8.DB,2048,2,data_hora:1; valor_monetario:1,DatEnc; Saldo,media
config_admin,EncCc9,Ger\Filial\EncCc9.DB,2048,2,data_hora:1; valor_monetario:1,DatEnc; Saldo,media
config_admin,EnvEmails,Ger\Filial\EnvEmails.DB,2048,12,outro:3; fiscal_documento:2; data_hora:2; texto_observacao:2; id_codigo:1; cliente_ref:1; status_situacao:1,TipSat; CodSat; DatLan; HorLan; email; Status; DatEmi; HorEmi; Obs; ObsEnvio; NomSat; Contato,media
config_admin,LanOrc,Ger\Filial\LanOrc.DB,2048,16,texto_observacao:11; id_codigo:3; ordem_rol_ref:1; outro:1,NumOrc; CodCli; DatOrc; CodVen; PreFinal; ObsFat1; ObsFat2; ObsFat3; ObsFat4; ObsFat5; ObsFat6; ObsFat7; ObsFat8; ObsFat9; ObsFinanc; ObsTransp,media
config_admin,LanOrcPro,Ger\Filial\LanOrcPro.DB,2048,5,id_codigo:2; outro:2; quantidade:1,NumOrc; CodPro; Quantidade; PrePro; PreFinal,media
config_admin,Material,Ger\Filial\Material.DB,2048,12,outro:5; texto_observacao:5; id_codigo:1; produto_ref:1,CodMat; DesMat; Unidade; Estoque; PreUni; TaxInicial; Obs; Obs2; Obs3; Obs4; Obs5; Tipo,media
config_admin,MensagensSMS,Ger\Filial\MensagensSMS.DB,2048,12,outro:6; id_codigo:2; data_hora:2; status_situacao:1; ordem_rol_ref:1,Seq; Numero; Protocolo; Status; Tipo; DatCad; HorCad; DatEnv; HorEnv; Erro; Mensagem; CodErro,media
config_admin,MovConTel,Ger\Filial\MovConTel.DB,2048,10,cliente_ref:5; id_codigo:2; usuario_auditoria:1; outro:1; data_hora:1,NumLinha; Operadora; NumTel; DatTel; HorTel; DurTel; ObsTel; ValTel; TipLigacao; DatVen,media
config_admin,NovoReg,Ger\Filial\NovoReg.DB,2048,1,outro:1,NovoReg,media
config_admin,Ponto,Ger\Filial\Ponto.DB,133120,7,data_hora:3; outro:2; id_codigo:1; texto_observacao:1,CodUsuario; DatPonto; Horas; Obs; SeqExporta; PontoClas; HorasDia,media
config_admin,PontoEnc,Ger\Filial\PontoEnc.DB,2048,4,id_codigo:1; data_hora:1; valor_monetario:1; texto_observacao:1,CodUsuario; DatEnc; SaldoMin; Obs,media
config_admin,ProcesMaq,Ger\Filial\ProcesMaq.DB,2048,7,id_codigo:2; texto_observacao:2; produto_ref:1; cliente_ref:1; data_hora:1,CodProcMaq; CodMaq; DesProcMaq; Cancelado; DatCan; MotivoCan; Obs,media
config_admin,ProcesMaqComp,Ger\Filial\ProcesMaqComp.DB,2048,5,id_codigo:4; outro:1,CodProcMaq; CodMaq; CodTipProc; CodUniPro; Tempo,media
config_admin,ProdComArea,Ger\Filial\ProdComArea.DB,2048,4,id_codigo:2; fiscal_documento:1; outro:1,CodPro; CodArea; Comissao; Tipo,media
