"Tipo","CodUsuario","CodFil","CodSistema","Rotina","Op","NivelI","NivelA","NivelE","NivelT","ResUsuario"
"","PONTO","QL001","LAVSOFT","","NotaFiscal1","","","","",""
"","PONTO","QL001","LAVSOFT","","Pagamento","","","","",""
"","PONTO","QL001","LAVSOFT","","PagamentoRol1","","","","",""
"","PONTO","QL001","LAVSOFT","","PagamentodeVariosRols1","","","","",""
"","PONTO","QL001","LAVSOFT","","Parametros1","","","","",""
"","PONTO","QL001","LAVSOFT","","Passadoria1","","","","",""
"","PONTO","QL001","LAVSOFT","","PgtosporTabela1","","","","",""
"","PONTO","QL001","LAVSOFT","","PontosEntregues1","","","","",""
"","PONTO","QL001","LAVSOFT","","PrevisoEntrega1","","","","",""
"","PONTO","QL001","LAVSOFT","","ROLsemAberto1","","","","",""
"","PONTO","QL001","LAVSOFT","","ROlsPagos1","","","","",""
"","PONTO","QL001","LAVSOFT","","RSL1","","","","",""
"","PONTO","QL001","LAVSOFT","","ReciboCaixa1","","","","",""
"","PONTO","QL001","LAVSOFT","","Reemisso2","","","","",""
"","PONTO","QL001","LAVSOFT","","RelControlePontos1","","","","",""
"","PONTO","QL001","LAVSOFT","","RelEstoquenoCli1","","","","",""
"","PONTO","QL001","LAVSOFT","","RelFatPrecos1","","","","",""
"","PONTO","QL001","LAVSOFT","","RelFreCli1","","","","",""
"","PONTO","QL001","LAVSOFT","","RelatConfRol1","","","","",""
"","PONTO","QL001","LAVSOFT","","RelatorioparaEntrega1","","","","",""
"","PONTO","QL001","LAVSOFT","","ResFatDiaDia1","","","","",""
"","PONTO","QL001","LAVSOFT","","ResFatNotFis1","","","","",""
"","PONTO","QL001","LAVSOFT","","ResTipTabEmp1","","","","",""
"","PONTO","QL001","LAVSOFT","","ResTipTabGru1","","","","",""
"","PONTO","QL001","LAVSOFT","","Resumida1","","","","",""
"","PONTO","QL001","LAVSOFT","","ResumoPorEmpree1","","","","",""
"","PONTO","QL001","LAVSOFT","","RolsCancelados1","","","","",""
"","PONTO","QL001","LAVSOFT","","SB_MudaValBase","","","","",""
"","PONTO","QL001","LAVSOFT","","SaldoControleEntrada1","","","","",""
"","PONTO","QL001","LAVSOFT","","SitRol","","","","",""
"","PONTO","QL001","LAVSOFT","","SituacaodoRols1","","","","",""
"","PONTO","QL001","LAVSOFT","","TabeladePreco1","","","","",""
"","PONTO","QL001","LAVSOFT","","Terceirizacao1","","","","",""
"","PONTO","QL001","LAVSOFT","","TiposdeDescontos1","","","","",""
"","PONTO","QL001","LAVSOFT","","TiposdeEntrada1","","","","",""
"","PONTO","QL001","LAVSOFT","","TiposdeServico1","","","","",""
"","PONTO","QL001","LAVSOFT","","TiposdeTecido1","","","","",""
"","PONTO","QL001","LAVSOFT","","TransporteporNota1","","","","",""
"","PONTO","QL001","LAVSOFT","","Usuarios1","","","","",""
"","PONTO","QL001","LAVSOFT","","VerificaLocalizaoporPeas1","","","","",""
"","PONTO","QL001","LAVSOFT","","VoltarRolaProduo1","","","","",""
"","SUPERV","QL001","LAVSOFT","","Anotacoes1","","","","",""
"","SUPERV","QL001","LAVSOFT","","CFAbertura1","","","","",""
